uri,idf
spotify:track:000xQL6tZNLJzIrtIgxqSl,2.6989700043360187
spotify:track:006yrnQMCZpiUgkR612gC8,3.0
spotify:track:009jzOyt9tXCqaUzeFIT03,3.0
spotify:track:00ANnYctEGGhcmOJ5omaj8,3.0
spotify:track:00AVE5t5MUtyGJf51V1GJG,3.0
spotify:track:00AvOVhsUi1gOCnHxTFw7i,3.0
spotify:track:00AxNl4D4jHL2AEf1W55j5,3.0
spotify:track:00BHe2yBtdOzhKPmI7rpTE,3.0
spotify:track:00BnfL75e8vHSGCmwUWbEk,3.0
spotify:track:00BuKLSAFkaEkaVAgIMbeA,2.221848749616356
spotify:track:00Ci0EXS4fNPnkTbS6wkOh,2.6989700043360187
spotify:track:00CqEmnPLFKDhAb3cuu6Cs,2.6989700043360187
spotify:track:00EfcDboIDLWzvPypeWGDg,3.0
spotify:track:00FWuEBvnitgpbMSk0XIoN,2.6989700043360187
spotify:track:00FaBIFXUfzaaVcsQmTTJY,3.0
spotify:track:00Fqt4eOBawrHtrQHfQtWy,3.0
spotify:track:00G6GfVa1uUyXBEEaqytL5,3.0
spotify:track:00GrC4W0zU18dG21ZVyZbS,3.0
spotify:track:00HAPR5U2EJxrPuxIH9mn2,3.0
spotify:track:00HIh9mVUQQAycsQiciWsh,3.0
spotify:track:00Hxf3pBkAasP9itOoAtWv,3.0
spotify:track:00IqwkT0PZhJ86PJajRCqk,3.0
spotify:track:00IrSynHsun7DpDrLkRIjM,3.0
spotify:track:00IyeP7sRybKkJs7Y0kBYW,3.0
spotify:track:00LfFm08VWeZwB0Zlm24AT,1.8239087409443189
spotify:track:00ND9X1OStbMhkkfHl5rdK,3.0
spotify:track:00NUqFMIpCsrYPbM9YpVHQ,2.6989700043360187
spotify:track:00OHmw4fpyBaUW3tnKfoSQ,3.0
spotify:track:00OzUEgsPIqPK1LGaQBHMk,3.0
spotify:track:00Q0wkRk4zGZH8njf7SH9D,3.0
spotify:track:00QO92Jpi7yj7EtlkBtGn5,3.0
spotify:track:00S35gEf40z03JTJgvQMqi,3.0
spotify:track:00UhllYwZeLUx6rkngfqf0,3.0
spotify:track:00Wnp2Nv4JzD5X7JO5Wz2E,3.0
spotify:track:00XrSeoUJusUuWvqd08lyF,3.0
spotify:track:00YeYHw6zhoy1y7EPTgIkj,2.6989700043360187
spotify:track:00YnfZzpODxlE6nNwfPCbv,3.0
spotify:track:00bG1RjQJbmBQqXMTnLnia,3.0
spotify:track:00cckIHATNjZ8aGrroh89l,3.0
spotify:track:00cqd6ZsSkLZqGMlQCR0Zo,2.6989700043360187
spotify:track:00dgK4Nln0AJQvI66SLRDb,3.0
spotify:track:00eqFR8ToEkH69y5QwH4kE,3.0
spotify:track:00fwHGKT0nTy7JyyoOVFSb,3.0
spotify:track:00hVU6kDP67JHurfwG2dtq,3.0
spotify:track:00hh0NPClA0PJetfwn4k5R,3.0
spotify:track:00i7J93mGntbUfKofnMnxu,2.6989700043360187
spotify:track:00iCRJ7pk3onHablkLyVH1,3.0
spotify:track:00j5BsuR5bWwjJBA7y4e4n,3.0
spotify:track:00jusKdEnHrRUmXIddEsd0,3.0
spotify:track:00k4IcdhoUtt3fBATrDyhh,3.0
spotify:track:00l9KCQeplWA4aGZWCyfes,3.0
spotify:track:00lNx0OcTJrS3MKHcB80HY,2.5228787452803374
spotify:track:00n24Sf2vxgmCT4p8oPLYf,3.0
spotify:track:00nxCCaqx2UF2d6w2tb9PC,3.0
spotify:track:00oHVAstyM08Q82e2XYvkS,3.0
spotify:track:00qOE7OjRl0BpYiCiweZB2,2.221848749616356
